temperature,humidity,ventilation rate,volume,CO2_variance
21.88,50.23,0.0,72.66,1.2324499999997216
21.9,50.23,0.0,72.66,1.2324499999997216
21.91,50.23,0.0,72.66,1.2168000000004469
21.92,50.24,0.0,72.66,1.2012499999997532
21.94,50.24,0.0,72.66,1.201250000000282
21.95,50.25,0.0,72.66,1.185799999999944
21.96,38.36,0.0,58.72,0.5832000000001056
21.96,50.25,0.0,72.66,1.185799999999944
21.98,47.78,0.0,72.66,2.163200000000085
21.98,50.26,0.0,72.66,1.185799999999944
21.99,31.09,0.0,58.72,0.04204999999998945
21.99,38.36,0.0,58.72,0.5512499999999523
22.0,38.37,0.0,58.72,4.032799999999929
22.0,38.38,0.0,58.72,0.5407999999999622
22.0,50.27,0.0,72.66,1.1551999999999722
22.02,50.28,0.0,72.66,1.1551999999999722
22.04,43.89,0.0,55.49,1.6380499999999012
22.04,50.29,0.0,72.66,1.1400499999998146
22.06,50.3,0.0,72.66,1.1400499999998146
22.07,38.31,0.0,58.72,0.5
22.07,43.91,0.0,55.49,1.7860499999998667
22.07,50.31,0.0,72.66,1.125
22.1,50.32,0.0,72.66,1.125
22.12,50.33,0.0,72.66,1.110049999999844
22.13,50.33,0.0,72.66,1.110049999999844
22.14,30.61,0.0,58.72,0.23258000000002366
22.14,30.62,0.0,58.72,0.04500000000000341
22.14,30.64,0.0,58.72,0.04205000000000594
22.15,50.34,0.0,72.66,1.0952000000000268
22.19,50.35,0.0,72.66,1.0952000000000268
22.2,39.43,0.0,55.49,1.2799999999999454
22.2,40.77,0.0,68.56,0.0007999999999985448
22.2,50.35,0.0,72.66,1.080449999999873
22.21,40.77,0.0,68.56,0.151249999999975
22.22,40.78,0.0,68.56,0.10124999999991814
22.23,45.61,0.0,68.56,1.0951999999998587
22.23,64.06,0.0,72.66,0.31999999999996365
22.24,39.45,0.0,55.49,1.1551999999999722
22.24,51.21,0.0,72.66,2.1012500000001397
22.24,64.05,0.0,72.66,0.3199999999995998
22.25,64.05,0.0,72.66,1.5681699999995775
22.26,39.46,0.0,55.49,1.1100499999997595
22.26,64.07,0.0,72.66,0.31204999999997124
22.26,64.1,0.0,72.66,0.3042000000003334
22.28,38.59,0.0,55.49,0.07999999999996817
22.28,39.46,0.0,55.49,1.051250000000066
22.3,39.47,0.0,55.49,1.0082000000000226
22.33,39.48,0.0,55.49,0.9247999999999412
22.35,39.48,0.0,55.49,0.8844499999999789
22.37,39.49,0.0,55.49,0.8449999999999409
22.38,39.49,0.0,55.49,0.8064500000000491
22.4,50.05,0.0,72.66,1.0658000000000531
22.41,39.5,0.0,55.49,0.7441999999999639
22.43,39.51,0.0,55.49,0.7080500000000649
22.43,50.04,0.0,72.66,1.0368000000000785
22.45,39.52,0.0,55.49,0.672800000000029
22.48,39.54,0.0,55.49,0.6050000000000876
22.5,39.56,0.0,55.49,0.5512500000001314
22.51,39.57,0.0,55.49,1.0609000000000903
22.52,39.58,0.0,55.49,0.5100499999999908
22.53,39.59,0.0,55.49,0.490050000000009
22.54,39.6,0.0,55.49,0.47044999999986103
22.55,39.62,0.0,55.49,0.4418000000000513
22.56,39.64,0.0,55.49,0.42319999999991004
22.57,39.66,0.0,55.49,0.3960499999999373
22.58,39.68,0.0,55.49,0.3697999999999628
22.58,39.7,0.0,55.49,0.3612499999999227
22.59,39.72,0.0,55.49,0.3444499999999396
22.6,39.75,0.0,55.49,18.78845000000032
22.6,39.76,0.0,55.49,0.31204999999997124
22.61,39.81,0.0,55.49,0.2738000000000067
22.62,39.88,0.0,55.49,0.23804999999999843
22.62,39.9,0.0,55.49,0.2312000000000433
22.62,39.92,0.0,55.49,0.21780000000005403
22.63,39.94,0.0,55.49,0.20479999999995488
22.63,39.96,0.0,55.49,0.19844999999996132
22.63,39.98,0.0,55.49,0.186050000000043
22.64,39.99,0.0,55.49,0.186050000000043
22.64,40.01,0.0,55.49,0.17404999999995172
22.64,40.02,0.0,55.49,0.3363999999999321
22.65,40.03,0.0,55.49,0.1624499999999637
22.65,40.04,0.0,55.49,0.3080333333333564
22.66,40.05,0.0,55.49,0.28623333333331463
22.69,31.77,0.0,58.72,0.13519999999999055
22.75,31.74,0.0,58.72,0.15124999999991245
22.82,31.71,0.0,58.72,0.1681999999999578
22.84,54.08,0.0,72.66,2.163200000000558
22.86,31.69,0.0,58.72,0.17999999999994543
22.86,53.87,0.0,72.66,2.204999999999809
22.94,37.9,0.0,58.72,0.0017999999999967259
22.95,37.9,0.0,58.72,0.0017999999999967259
23.0,79.49,0.0,72.66,0.0071999999999869035
23.01,79.46,0.0,72.66,0.007200000000014188
23.01,79.48,0.0,72.66,0.006050000000039017
23.02,79.43,0.0,72.66,0.0071999999999869035
23.02,79.45,0.0,72.66,0.007200000000068758
23.03,31.61,0.0,58.72,0.2311999999998887
23.03,38.47,0.0,70.09,0.14579999999998036
23.03,79.4,0.0,72.66,0.007200000000068758
23.03,79.42,0.0,72.66,0.0071999999999869035
23.04,38.47,0.0,70.09,0.29160000000003744
23.04,79.37,0.0,72.66,0.0071999999999869035
23.04,79.39,0.0,72.66,0.008450000000014187
23.05,38.47,0.0,70.09,0.30250000000002814
23.05,79.34,0.0,72.66,0.007200000000014188
23.05,79.35,0.0,72.66,0.007200000000014188
23.06,38.47,0.0,70.09,0.3080333333333564
23.06,79.3,0.0,72.66,0.007200000000014188
23.06,79.32,0.0,72.66,0.008449999999925512
23.07,38.47,0.0,70.09,0.319233333333491
23.07,79.27,0.0,72.66,0.008450000000014187
23.07,79.29,0.0,72.66,6.981100000000839
